ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type,win,man_of_the_match
49.3," Siraj to Starc, out Caught by Shreyas Iyer!! Another good catch and Australia have been bowled out for 199. The slower ball is dug into the pitch, Starc hangs back to pull but gets it high on the bat, the ball is in the air for a long time, Shreyas runs in from deep square leg and judges it well to take it after that sprint. India need exactly 200 to win this. Starc c Shreyas Iyer b Siraj 28(35) [4s-2 6s-1] ",1st Inns,5th,India,Australia,"India (Playing XI): Rohit Sharma(c), Ishan Kishan, Virat Kohli, Shreyas Iyer, KL Rahul(w), Hardik Pandya, Ravindra Jadeja, Ravichandran Ashwin, Kuldeep Yadav, Jasprit Bumrah, Mohammed Siraj","Australia (Playing XI): David Warner, Mitchell Marsh, Steven Smith, Marnus Labuschagne, Glenn Maxwell, Alex Carey(w), Cameron Green, Pat Cummins(c), Mitchell Starc, Adam Zampa, Josh Hazlewood",,,ICC Cricket World Cup 2023,2023,"MA Chidambaram Stadium,Chennai","Oct 08,2023",Australia have won the toss and have opted to bat,India won by 6 wkts,KL Rahul,AUS,bat,AUS,IND,Starc, Siraj,out,out,Good,,deep square,pull shot,,"Catch out , shreyas iyer",India won by 6 wkts,KL Rahul
49.2," Siraj to Starc, FOUR, Australia just one short of 200 now. Siraj misses the yorker on the stumps, the half-volley is smashed straight down the ground. Well wide of mid-off who was inside the ring ",1st Inns,5th,India,Australia,"India (Playing XI): Rohit Sharma(c), Ishan Kishan, Virat Kohli, Shreyas Iyer, KL Rahul(w), Hardik Pandya, Ravindra Jadeja, Ravichandran Ashwin, Kuldeep Yadav, Jasprit Bumrah, Mohammed Siraj","Australia (Playing XI): David Warner, Mitchell Marsh, Steven Smith, Marnus Labuschagne, Glenn Maxwell, Alex Carey(w), Cameron Green, Pat Cummins(c), Mitchell Starc, Adam Zampa, Josh Hazlewood",,,ICC Cricket World Cup 2023,2023,"MA Chidambaram Stadium,Chennai","Oct 08,2023",Australia have won the toss and have opted to bat,India won by 6 wkts,KL Rahul,AUS,bat,AUS,IND,Starc, Siraj,4,0,Short,stump line,straight,beaten,,,India won by 6 wkts,KL Rahul
49.1," Siraj to Starc, no run, full on the stumps, drilled straight to the fielder at long-on and Starc won't take the single on offer ",1st Inns,5th,India,Australia,"India (Playing XI): Rohit Sharma(c), Ishan Kishan, Virat Kohli, Shreyas Iyer, KL Rahul(w), Hardik Pandya, Ravindra Jadeja, Ravichandran Ashwin, Kuldeep Yadav, Jasprit Bumrah, Mohammed Siraj","Australia (Playing XI): David Warner, Mitchell Marsh, Steven Smith, Marnus Labuschagne, Glenn Maxwell, Alex Carey(w), Cameron Green, Pat Cummins(c), Mitchell Starc, Adam Zampa, Josh Hazlewood",,,ICC Cricket World Cup 2023,2023,"MA Chidambaram Stadium,Chennai","Oct 08,2023",Australia have won the toss and have opted to bat,India won by 6 wkts,KL Rahul,AUS,bat,AUS,IND,Starc, Siraj,0,0,Full,stump line,straight,,,,India won by 6 wkts,KL Rahul
48.6," Hardik Pandya to Starc, 1 run, Starc keeps the strike. Just pushes the slower ball off-cutter in front of extra-cover and takes an easy single ",1st Inns,5th,India,Australia,"India (Playing XI): Rohit Sharma(c), Ishan Kishan, Virat Kohli, Shreyas Iyer, KL Rahul(w), Hardik Pandya, Ravindra Jadeja, Ravichandran Ashwin, Kuldeep Yadav, Jasprit Bumrah, Mohammed Siraj","Australia (Playing XI): David Warner, Mitchell Marsh, Steven Smith, Marnus Labuschagne, Glenn Maxwell, Alex Carey(w), Cameron Green, Pat Cummins(c), Mitchell Starc, Adam Zampa, Josh Hazlewood",,,ICC Cricket World Cup 2023,2023,"MA Chidambaram Stadium,Chennai","Oct 08,2023",Australia have won the toss and have opted to bat,India won by 6 wkts,KL Rahul,AUS,bat,AUS,IND,Starc, Hardik Pandya,1,0,,,cover,square cut,,,India won by 6 wkts,KL Rahul
48.5," Hardik Pandya to Starc, FOUR, handy runs these. The line is on leg-stump on this slower ball off-cutter, flicked wide of short fine-leg and it runs away to the deep backward square leg fence. Rohit with a slight frown on his face ",1st Inns,5th,India,Australia,"India (Playing XI): Rohit Sharma(c), Ishan Kishan, Virat Kohli, Shreyas Iyer, KL Rahul(w), Hardik Pandya, Ravindra Jadeja, Ravichandran Ashwin, Kuldeep Yadav, Jasprit Bumrah, Mohammed Siraj","Australia (Playing XI): David Warner, Mitchell Marsh, Steven Smith, Marnus Labuschagne, Glenn Maxwell, Alex Carey(w), Cameron Green, Pat Cummins(c), Mitchell Starc, Adam Zampa, Josh Hazlewood",,,ICC Cricket World Cup 2023,2023,"MA Chidambaram Stadium,Chennai","Oct 08,2023",Australia have won the toss and have opted to bat,India won by 6 wkts,KL Rahul,AUS,bat,AUS,IND,Starc, Hardik Pandya,4,0,Short,leg side,short fine,cut shot,,,India won by 6 wkts,KL Rahul
48.4," Hardik Pandya to Starc, no run, slower ball off-cutter outside off, keeps low, Starc cuts and the bottom-edge rolls to Rahul ",1st Inns,5th,India,Australia,"India (Playing XI): Rohit Sharma(c), Ishan Kishan, Virat Kohli, Shreyas Iyer, KL Rahul(w), Hardik Pandya, Ravindra Jadeja, Ravichandran Ashwin, Kuldeep Yadav, Jasprit Bumrah, Mohammed Siraj","Australia (Playing XI): David Warner, Mitchell Marsh, Steven Smith, Marnus Labuschagne, Glenn Maxwell, Alex Carey(w), Cameron Green, Pat Cummins(c), Mitchell Starc, Adam Zampa, Josh Hazlewood",,,ICC Cricket World Cup 2023,2023,"MA Chidambaram Stadium,Chennai","Oct 08,2023",Australia have won the toss and have opted to bat,India won by 6 wkts,KL Rahul,AUS,bat,AUS,IND,Starc, Hardik Pandya,0,0,,off side,,edge,,,India won by 6 wkts,KL Rahul
48.3," Hardik Pandya to Hazlewood, 1 run, slower ball full on the stumps, Hazlewood drives to sweeper cover and turns the strike over ",1st Inns,5th,India,Australia,"India (Playing XI): Rohit Sharma(c), Ishan Kishan, Virat Kohli, Shreyas Iyer, KL Rahul(w), Hardik Pandya, Ravindra Jadeja, Ravichandran Ashwin, Kuldeep Yadav, Jasprit Bumrah, Mohammed Siraj","Australia (Playing XI): David Warner, Mitchell Marsh, Steven Smith, Marnus Labuschagne, Glenn Maxwell, Alex Carey(w), Cameron Green, Pat Cummins(c), Mitchell Starc, Adam Zampa, Josh Hazlewood",,,ICC Cricket World Cup 2023,2023,"MA Chidambaram Stadium,Chennai","Oct 08,2023",Australia have won the toss and have opted to bat,India won by 6 wkts,KL Rahul,AUS,bat,AUS,IND,Hazlewood, Hardik Pandya,1,0,Full,stump line,sweeper,drive,,,India won by 6 wkts,KL Rahul
48.2," Hardik Pandya to Zampa, out Caught by Kohli!! Straight to mid-off. Full and seam-up on the stumps, Zampa makes room to loft and finds the man. Right off the bottom of the bat and no elevation or power. Hardik Pandya still looking at the end of his fingers on which he took a blow at the start. Zampa c Kohli b Hardik Pandya 6(20) ",1st Inns,5th,India,Australia,"India (Playing XI): Rohit Sharma(c), Ishan Kishan, Virat Kohli, Shreyas Iyer, KL Rahul(w), Hardik Pandya, Ravindra Jadeja, Ravichandran Ashwin, Kuldeep Yadav, Jasprit Bumrah, Mohammed Siraj","Australia (Playing XI): David Warner, Mitchell Marsh, Steven Smith, Marnus Labuschagne, Glenn Maxwell, Alex Carey(w), Cameron Green, Pat Cummins(c), Mitchell Starc, Adam Zampa, Josh Hazlewood",,,ICC Cricket World Cup 2023,2023,"MA Chidambaram Stadium,Chennai","Oct 08,2023",Australia have won the toss and have opted to bat,India won by 6 wkts,KL Rahul,AUS,bat,AUS,IND,Zampa, Hardik Pandya,out,out,Full,stump line,Straight,,,"Catch out , kohli",India won by 6 wkts,KL Rahul
48.1," Hardik Pandya to Starc, 1 run, slower ball off-cutter on the stumps, Starc pulls to deep mid-wicket ",1st Inns,5th,India,Australia,"India (Playing XI): Rohit Sharma(c), Ishan Kishan, Virat Kohli, Shreyas Iyer, KL Rahul(w), Hardik Pandya, Ravindra Jadeja, Ravichandran Ashwin, Kuldeep Yadav, Jasprit Bumrah, Mohammed Siraj","Australia (Playing XI): David Warner, Mitchell Marsh, Steven Smith, Marnus Labuschagne, Glenn Maxwell, Alex Carey(w), Cameron Green, Pat Cummins(c), Mitchell Starc, Adam Zampa, Josh Hazlewood",,,ICC Cricket World Cup 2023,2023,"MA Chidambaram Stadium,Chennai","Oct 08,2023",Australia have won the toss and have opted to bat,India won by 6 wkts,KL Rahul,AUS,bat,AUS,IND,Starc, Hardik Pandya,1,0,,stump line,mid-wicket,pull shot,,,India won by 6 wkts,KL Rahul
47.6," Siraj to Zampa, no run, full and angling into leg-stump, flicked towards mid-wicket ",1st Inns,5th,India,Australia,"India (Playing XI): Rohit Sharma(c), Ishan Kishan, Virat Kohli, Shreyas Iyer, KL Rahul(w), Hardik Pandya, Ravindra Jadeja, Ravichandran Ashwin, Kuldeep Yadav, Jasprit Bumrah, Mohammed Siraj","Australia (Playing XI): David Warner, Mitchell Marsh, Steven Smith, Marnus Labuschagne, Glenn Maxwell, Alex Carey(w), Cameron Green, Pat Cummins(c), Mitchell Starc, Adam Zampa, Josh Hazlewood",,,ICC Cricket World Cup 2023,2023,"MA Chidambaram Stadium,Chennai","Oct 08,2023",Australia have won the toss and have opted to bat,India won by 6 wkts,KL Rahul,AUS,bat,AUS,IND,Zampa, Siraj,0,0,Full,,mid-wicket,flick shot,,,India won by 6 wkts,KL Rahul
